City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Cody,US,44.5263,-109.0565,21.99,73,90,3.89,overcast clouds
143,Hermanus,ZA,-34.4187,19.2345,55.0,95,23,8.41,few clouds
144,Besenyszog,HU,47.3,20.2667,41.0,93,0,6.91,clear sky
145,Mayo,US,38.8876,-76.5119,28.4,50,1,6.91,clear sky
146,Mapiripan,CO,2.8892,-72.1256,70.54,96,97,3.22,light rain
147,Yuzhno-Sukhokumsk,RU,44.6581,45.6436,30.61,98,0,3.4,clear sky
148,Mildura,AU,-34.2,142.15,108.0,9,91,13.8,overcast clouds
149,Pevek,RU,69.7008,170.3133,-19.01,88,97,4.5,overcast clouds
150,Dikson,RU,73.5069,80.5464,-16.38,90,78,7.85,broken clouds
151,Prince Rupert,CA,54.3161,-130.3201,35.6,93,90,6.91,light rain
152,Ulladulla,AU,-35.35,150.4667,98.6,34,14,14.97,few clouds
153,Hualmay,PE,-11.0964,-77.6139,71.02,80,87,6.04,overcast clouds
154,Faanui,PF,-16.4833,-151.75,81.28,74,0,12.5,clear sky
155,Sistranda,NO,63.7256,8.834,33.8,93,75,4.61,snow
156,Asyut,EG,27.181,31.1837,42.8,87,0,6.91,clear sky
157,Severo-Kurilsk,RU,50.6789,156.125,19.02,91,86,24.76,overcast clouds
158,Saldanha,ZA,-33.0117,17.9442,59.0,67,0,11.5,clear sky
159,Hervey Bay,AU,-25.2986,152.8535,88.0,39,40,16.11,light rain
160,Brae,GB,60.3964,-1.353,39.2,75,40,11.5,scattered clouds
161,Bambous Virieux,MU,-20.3428,57.7575,82.99,94,40,2.3,scattered clouds
162,Yokadouma,CM,3.5167,15.05,67.03,46,100,2.82,overcast clouds
163,Sitka,US,57.0531,-135.33,35.6,100,90,3.44,light rain
164,Butaritari,KI,3.0707,172.7902,80.17,78,98,10.04,overcast clouds
165,Ahuimanu,US,21.4447,-157.8378,78.8,78,75,16.11,light rain
166,Clarence Town,AU,-32.5833,151.7833,99.0,23,7,8.05,clear sky
167,Kallithea,GR,37.95,23.7,48.99,87,20,7.16,few clouds
168,Great Yarmouth,GB,52.6083,1.7305,28.99,93,7,8.05,clear sky
169,Novooleksiyivka,UA,46.2269,34.6428,44.8,78,100,14.7,overcast clouds
170,Takoradi,GH,4.8845,-1.7554,77.29,89,46,6.11,scattered clouds
171,Sibu,MY,2.3,111.8167,82.4,78,40,3.44,scattered clouds
172,Bethel,US,41.3712,-73.414,21.2,45,1,10.36,clear sky
173,Lebu,CL,-37.6167,-73.65,57.27,86,0,17.0,clear sky
174,Grand-Santi,GF,4.25,-54.3833,71.91,97,100,2.04,overcast clouds
175,Grindavik,IS,63.8424,-22.4338,30.2,74,40,27.63,scattered clouds
176,Broken Hill,AU,-31.95,141.4333,102.2,10,99,17.27,overcast clouds
177,Bilibino,RU,68.0546,166.4372,-34.06,80,49,1.59,scattered clouds
178,Bereda,ES,43.2686,-7.5406,46.0,100,100,8.99,overcast clouds
179,Ciudad Bolivar,VE,8.1222,-63.5497,76.33,79,61,11.23,broken clouds
180,Tiznit,MA,29.5833,-9.5,55.0,71,51,0.2,broken clouds
181,Atar,MR,20.5169,-13.0499,64.44,23,51,8.48,broken clouds
182,Pangody,RU,65.85,74.4859,-45.13,78,0,0.85,clear sky
183,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,77,0,2.3,clear sky
184,Dickinson,US,29.4608,-95.0513,61.0,88,90,12.66,overcast clouds
