City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
113,Bontang,ID,85.87,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
114,Carnarvon,AU,82.4,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
121,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
123,Bonthe,SL,74.73,clear sky,7.5264,-12.505,Bonthe Holiday Village
124,Puerto Leguizamo,CO,71.08,overcast clouds,-0.1934,-74.7819,la casona de juancho
126,Kavieng,PG,85.37,broken clouds,-2.5744,150.7967,Nusa Island Retreat
128,Berbera,SO,73.8,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
129,Dicabisagan,PH,76.53,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
130,Puerto Ayora,EC,75.99,broken clouds,-0.7393,-90.3518,Castillo Galapagos
133,Port Macquarie,AU,90.0,clear sky,-31.4333,152.9167,Rydges Port Macquarie
135,Mahebourg,MU,75.2,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
139,Port-Gentil,GA,80.58,overcast clouds,-0.7193,8.7815,Fengshui Residence
146,Mapiripan,CO,70.54,light rain,2.8892,-72.1256,Monserrate
153,Hualmay,PE,71.02,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
154,Faanui,PF,81.28,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
159,Hervey Bay,AU,88.0,light rain,-25.2986,152.8535,Shelly Bay Resort
161,Bambous Virieux,MU,82.99,scattered clouds,-20.3428,57.7575,Casa Tia Villa
164,Butaritari,KI,80.17,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
165,Ahuimanu,US,78.8,light rain,21.4447,-157.8378,Paradise Bay Resort
170,Takoradi,GH,77.29,scattered clouds,4.8845,-1.7554,Raybow International Hotel
171,Sibu,MY,82.4,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
174,Grand-Santi,GF,71.91,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
179,Ciudad Bolivar,VE,76.33,broken clouds,8.1222,-63.5497,Hotel Edi
191,La Primavera,CO,81.07,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
193,Kingaroy,AU,82.99,broken clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
194,Guaruja,BR,81.0,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
195,Cabedelo,BR,75.2,clear sky,-6.9811,-34.8339,Hotel Pigalle
196,Koumac,NC,83.12,overcast clouds,-20.5667,164.2833,Le Monitel
198,Pouebo,NC,80.06,overcast clouds,-20.4,164.5667,
199,Tabou,CI,76.86,clear sky,4.423,-7.3528,hotêl doufoulougou
200,Saint-Philippe,RE,80.6,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
205,Maceio,BR,73.4,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
206,Pocone,BR,73.8,light rain,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
212,Geraldton,AU,77.0,few clouds,-28.7667,114.6,Broadwater Mariner Resort
214,Namatanai,PG,86.34,broken clouds,-3.6667,152.4333,Namatanai Hotel
217,Mabaruma,GY,71.64,broken clouds,8.2,-59.7833,
220,Sarankhola,BD,77.94,clear sky,22.3082,89.7897,Md Mostafiz Mir Al Imran's House
222,Kahului,US,77.0,clear sky,20.8947,-156.47,Maui Seaside Hotel
